#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-09-13T21:38:06 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5b9ad8a317a66
#INFO	-out.max=unlimited
#INFO	queryParameters=33
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/141/166&tab:{J/AJ/141/166/vars}&key:source=J/AJ/141/166/vars&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/141/166/vars
#-order=I
#-out=HAT
#-out=n_HAT
#-out=pmRA
#-out=pmDE
#-out=Jmag
#-out=Hmag
#-out=Kmag
#-out=Vmag
#-out=r_Vmag
#-out=Pe
#-out=dR.e1
#-out=dR.e2
#-out=Qe
#-out=Pt
#-out=dR.t1
#-out=dR.t2
#-out=Qt
#-out=N
#-out=2M
#2M=2M
#-out=Simbad
#Simbad=Simbad
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_51410166
#Name: J/AJ/141/166
#Title: HATNet variability survey of K and M dwarfs (Hartman+, 2011)
#Table	J_AJ_141_166_vars:
#Name: J/AJ/141/166/vars
#Title: Catalog of periodic variables (table6)
#Column	HAT	(A11)	HAT designation (FFF-NNNNNNN)	[ucd=meta.id,meta.main]
#Column	n_HAT	(A1)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	pmRA	(F8.2)	PPMX Proper motion in Right Ascension	[ucd=pos.pm,pos.eq.ra]
#Column	pmDE	(F8.2)	PPMX Proper motion in Declination	[ucd=pos.pm,pos.eq.dec]
#Column	Jmag	(F7.3)	2MASS J apparent magnitude	[ucd=phot.mag,em.IR.J]
#Column	Hmag	(F7.3)	2MASS H apparent magnitude	[ucd=phot.mag,em.IR.H]
#Column	Kmag	(F7.3)	2MASS Ks apparent magnitude	[ucd=phot.mag,em.IR.K]
#Column	Vmag	(F7.3)	Magnitude (apparent) in V filter	[ucd=phot.mag,em.opt.V]
#Column	r_Vmag	(I1)	[0/2] Source for Vmag (G1)	[ucd=meta.ref,pos.frame]
#Column	Pe	(F10.6)	? Period from AH applied to the EPD light curves (1)	[ucd=time.period]
#Column	dR.e1	(F6.3)	? R Amplitude of EPD lc phased at Pe (2)	[ucd=phot.mag,em.opt.R]
#Column	dR.e2	(F6.3)	? R Amplitude of TFA lc phased at Pe (2)	[ucd=phot.mag,em.opt.R]
#Column	Qe	(I1)	[0/2] Quality flag for AH/EPD (3)	[ucd=meta.code.qual]
#Column	Pt	(F10.6)	? Period from AH applied to the TFA light curves (1)	[ucd=time.period]
#Column	dR.t1	(F6.3)	? R Amplitude of EPD lc phased at Pt (2)	[ucd=phot.mag,em.opt.R]
#Column	dR.t2	(F6.3)	? R Amplitude of TFA lc phased at Pt (2)	[ucd=phot.mag,em.opt.R]
#Column	Qt	(I1)	[0/2] Quality flag for AH/TFA, 0=ok (3)	[ucd=meta.code.qual]
#Column	N	(I2)	Number of other 2MASS sources within 30" of the source	[ucd=meta.number]
#Column	2M	(A2)	Display details of the 2MASS data (Cutri et al. 2003, Cat. II/246)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	RAJ2000	(A11)	2MASS Right Ascension J2000	[ucd=pos.eq.ra,meta.main]
#Column	DEJ2000	(A11)	2MASS Declination J2000	[ucd=pos.eq.dec,meta.main]
# , ,mas/yr,mas/yr,mag,mag,mag,mag, ,d,mag,mag, ,d,mag,mag, , , , ,"h:m:s","d:m:s"
#-----------,-,--------,--------,-------,-------,-------,-------,-,----------,------,------,-,----------,------,------,-,--,--,------,-----------,-----------
HAT,n_HAT,pmRA,pmDE,Jmag,Hmag,Kmag,Vmag,r_Vmag,Pe,dR.e1,dR.e2,Qe,Pt,dR.t1,dR.t2,Qt,N,2M,Simbad,RAJ2000,DEJ2000
140-0001388, ,  -39.49,  -43.60, 10.592,  9.944,  9.757, 13.346,1,          ,      ,      ,2, 39.634238, 0.007, 0.005,0, 0,2M,Simbad,10 55 58.91,+45 21 01.7
140-0001677, ,  -44.99,  -29.43, 10.927, 10.289, 10.147, 13.824,1,          ,      ,      ,2,  7.087820, 0.006, 0.003,0, 0,2M,Simbad,10 58 23.91,+46 57 41.1
140-0001869, ,  -74.06,   -8.49, 10.966, 10.337, 10.119, 14.457,1, 15.525809, 0.005, 0.003,0,          ,      ,      ,2, 1,2M,Simbad,10 36 39.73,+45 41 08.1
140-0001883, ,  -66.84,   11.20, 11.025, 10.388, 10.208, 14.336,1, 28.570166,      ,      ,1,          ,      ,      ,2, 0,2M,Simbad,10 51 26.69,+41 17 48.5
140-0002014, ,  182.54, -315.24, 10.979, 10.360, 10.076, 14.975,1, 93.079344, 0.024, 0.009,1,          ,      ,      ,2, 0,2M,Simbad,10 37 20.36,+42 06 01.7
140-0002040, ,   37.91,   -9.54, 11.052, 10.419, 10.184, 14.643,1,          ,      ,      ,2, 49.073095, 0.010, 0.012,1, 0,2M,Simbad,11 01 06.49,+42 47 14.8
140-0002256, ,   91.76,  -53.39, 11.166, 10.459, 10.266, 14.720,1, 48.448274, 0.012, 0.005,1,          ,      ,      ,2, 0,2M,Simbad,10 32 53.78,+43 36 23.2
140-0002663, ,  -37.70,  -32.08, 11.450, 10.802, 10.603, 14.662,1, 12.105849, 0.023, 0.016,0, 12.052036, 0.024, 0.017,0, 0,2M,Simbad,10 36 29.89,+42 04 12.4
140-0002691, ,   18.89,  -34.46, 11.459, 10.793, 10.600, 14.538,1,  2.458123,      ,      ,0,  1.234413,      ,      ,0, 0,2M,Simbad,10 52 47.13,+41 17 01.3
140-0002939, ,  -28.34,  -24.70, 11.593, 10.946, 10.750, 14.496,1,  9.298304, 0.039, 0.025,0,  9.287693, 0.038, 0.023,0, 0,2M,Simbad,10 56 57.03,+43 38 34.0
140-0003098, ,  -37.71,  -54.75, 11.618, 10.964, 10.736, 15.030,1, 38.877002, 0.031, 0.017,1,          ,      ,      ,2, 0,2M,Simbad,10 55 48.63,+44 33 33.1
140-0003334, ,   37.56,  -32.32, 11.833, 11.163, 11.017, 13.787,1,          ,      ,      ,2, 14.002321, 0.116, 0.097,0, 0,2M,Simbad,10 37 00.01,+48 17 17.4
140-0004297, ,  -54.32,   19.72, 12.289, 11.631, 11.522, 14.781,1, 36.116862, 0.021, 0.013,1,          ,      ,      ,2, 0,2M,Simbad,11 01 08.45,+44 13 47.7
141-0000143, , -579.67,  -89.55,  7.608,  7.069,  6.822, 11.882,0,          ,      ,      ,2, 73.498679, 0.012, 0.008,0, 0,2M,Simbad,11 41 44.72,+42 45 07.3
141-0000308, , -231.02,   22.25,  8.732,  8.114,  8.001, 11.020,0,          ,      ,      ,2, 47.776865, 0.005, 0.002,1, 0,2M,Simbad,11 30 54.73,+43 45 04.8
141-0000481, , -324.85, -148.30,  9.146,  8.489,  8.263, 12.983,1,          ,      ,      ,2, 42.203053, 0.040, 0.018,0, 0,2M,Simbad,11 23 20.59,+44 48 38.8
141-0000646, ,   97.87, -218.40,  9.586,  8.979,  8.760, 12.346,1, 34.804153, 0.012, 0.005,0, 34.655964, 0.012, 0.005,0, 0,2M,Simbad,11 19 12.31,+47 18 14.5
141-0000663,X,    7.88,  104.53,  9.619,  9.070,  8.797, 13.721,1,          ,      ,      ,2, 12.410202, 0.050, 0.033,0, 1,2M,Simbad,11 30 53.70,+44 14 36.2
141-0000700,X,  -16.62, -154.66,  9.748,  9.160,  8.952, 12.352,1,  9.784533, 0.019, 0.011,0,  9.755216, 0.020, 0.011,0, 0,2M,Simbad,11 07 02.72,+44 00 17.2
141-0000750, , -207.49,  -58.17,  9.809,  9.211,  8.986, 12.278,0,          ,      ,      ,2, 46.151457, 0.017, 0.008,1, 0,2M,Simbad,11 22 45.66,+43 44 45.7
141-0000792, ,  -76.65,    8.96,  9.849,  9.200,  8.988, 12.968,1, 16.632632, 0.013, 0.007,0, 16.786999, 0.016, 0.007,0, 0,2M,Simbad,11 38 14.04,+42 18 21.8
141-0000828, , -116.75,   -6.42,  9.941,  9.361,  9.112, 14.338,1, 27.792518, 0.039, 0.017,0, 29.135572, 0.033, 0.017,0, 0,2M,Simbad,11 07 32.08,+43 45 56.4
141-0000914, , -112.93,    7.45, 10.126,  9.512,  9.321, 13.200,1,          ,      ,      ,2, 51.559973, 0.011, 0.003,1, 1,2M,Simbad,11 20 22.88,+45 32 18.1
141-0000916, , -393.92,  -57.75,  9.984,  9.299,  9.062, 13.628,0,          ,      ,      ,2, 50.598407, 0.021, 0.008,1, 1,2M,Simbad,11 12 33.64,+46 09 20.8
141-0000952, , -120.89,  -24.81, 10.143,  9.483,  9.292, 13.427,1,          ,      ,      ,2, 64.926802, 0.009, 0.004,1, 0,2M,Simbad,11 11 32.39,+44 05 03.9
141-0000954, ,   69.87,  -16.06, 10.153,  9.532,  9.318, 13.743,1, 11.361147, 0.044, 0.025,0, 11.328081, 0.039, 0.022,0, 0,2M,Simbad,11 28 43.17,+41 24 17.7
141-0000996, ,  -66.05,   16.63, 10.220,  9.543,  9.382, 13.239,1, 17.471649, 0.011, 0.005,0, 17.776923, 0.009, 0.005,0, 0,2M,Simbad,11 34 45.69,+47 56 34.2
141-0001094, ,  -32.11,  -28.65, 10.382,  9.740,  9.574, 13.129,1, 15.641762, 0.009, 0.004,0,  7.888053, 0.007, 0.004,0, 0,2M,Simbad,11 10 53.42,+47 48 15.5
141-0001265, ,   54.04,  -14.81, 10.486,  9.901,  9.642, 13.981,1,          ,      ,      ,2,  7.578412, 0.024, 0.017,0, 0,2M,Simbad,11 28 51.06,+41 26 31.7
141-0001356, ,  -67.99,  -65.50, 10.566,  9.932,  9.695, 14.025,1, 19.956202, 0.035, 0.017,0, 19.432120, 0.032, 0.018,0, 0,2M,Simbad,11 34 00.42,+46 53 04.6
141-0001390, ,  -67.49,   -9.40, 10.738, 10.111,  9.962, 13.331,1, 14.924727, 0.016, 0.009,0, 14.486438, 0.013, 0.008,0, 1,2M,Simbad,11 23 42.67,+46 49 28.9
141-0001409, , -104.22,   20.28, 10.610,  9.923,  9.719, 13.819,1,          ,      ,      ,2, 17.068623, 0.027, 0.005,0, 4,2M,Simbad,11 25 01.28,+45 55 35.3
141-0001647, ,   80.11,  -21.58, 10.798, 10.117,  9.892, 14.209,1,          ,      ,      ,2, 41.032888, 0.021, 0.015,0, 0,2M,Simbad,11 35 00.48,+45 30 54.4
141-0001680, , -142.48,  -25.27, 10.876, 10.229, 10.020, 14.161,1, 22.247118, 0.023, 0.010,0,          ,      ,      ,2, 1,2M,Simbad,11 13 38.58,+48 43 30.6
141-0001753, ,  -44.23,  -22.95, 10.959, 10.263, 10.112, 14.112,1,          ,      ,      ,2, 14.642805, 0.021, 0.006,0, 1,2M,Simbad,11 24 06.89,+44 49 39.4
141-0001819, ,   -7.73,  -47.55, 10.955, 10.315, 10.077, 14.943,1,          ,      ,      ,2, 70.554871, 0.065, 0.020,1, 0,2M,Simbad,11 16 30.37,+44 41 11.2
141-0001854, , -171.64, -293.26, 11.154, 10.628, 10.420, 14.722,1, 10.747015, 0.026, 0.007,0, 10.718710, 0.027, 0.012,0, 1,2M,Simbad,11 06 04.76,+42 52 49.7
141-0001866, , -109.56,   46.24, 10.984, 10.317, 10.089, 14.320,1,          ,      ,      ,2, 21.370931, 0.017, 0.005,0, 0,2M,Simbad,11 10 21.63,+45 00 55.6
141-0001954, ,   56.83, -122.38, 11.095, 10.406, 10.227, 14.302,1,          ,      ,      ,2, 20.203882, 0.013, 0.005,0, 0,2M,Simbad,11 19 38.06,+43 40 56.6
141-0002098, ,   36.70,   -9.76, 11.256, 10.643, 10.448, 15.017,1,          ,      ,      ,2, 19.907392, 0.025, 0.007,1, 0,2M,Simbad,11 20 30.16,+43 36 53.6
141-0002107, ,  -38.38,   -4.41, 11.324, 10.660, 10.543, 13.352,1, 15.901509, 0.013, 0.006,0, 16.153983, 0.013, 0.007,0, 0,2M,Simbad,11 26 38.64,+43 58 23.4
141-0002252, ,  -53.52,  -18.65, 11.351, 10.679, 10.529, 13.606,1, 42.533862, 0.013, 0.006,1, 43.096889, 0.013, 0.006,1, 1,2M,Simbad,11 33 04.71,+42 20 14.9
141-0002323, ,  -77.73,  -52.97, 11.350, 10.660, 10.497, 14.166,1, 20.254157, 0.022, 0.009,0, 20.228988, 0.021, 0.009,0, 0,2M,Simbad,11 40 16.10,+42 35 16.3
141-0002348, ,  -27.09,  -19.52, 11.351, 10.701, 10.499, 15.113,1,          ,      ,      ,2, 19.931767, 0.020, 0.012,1, 0,2M,Simbad,11 06 48.71,+44 02 56.9
141-0002506, ,   10.41,  -78.23, 11.450, 10.760, 10.595, 14.419,1,  3.324420, 0.136, 0.116,0,  3.323742, 0.136, 0.116,0, 1,2M,Simbad,11 12 40.44,+44 26 11.9
141-0002536, ,  -59.44,  -47.46, 11.566, 10.987, 10.805, 13.804,1,  8.901706, 0.025, 0.015,0,  8.891981, 0.025, 0.015,0, 0,2M,Simbad,11 39 22.39,+45 51 00.9
141-0002570, ,  -15.77,  -33.88, 11.568, 10.929, 10.776, 14.441,1, 21.858770, 0.008, 0.008,1,          ,      ,      ,2, 0,2M,Simbad,11 08 53.40,+43 43 05.9
141-0002636, ,   68.93,  -31.55, 11.501, 10.839, 10.632, 14.479,1,  1.027070, 0.020, 0.010,0, 36.440254, 0.027, 0.011,1, 0,2M,Simbad,11 26 11.58,+47 02 55.5
141-0002776, , -330.58,    1.31, 11.654, 11.085, 10.862, 14.788,0,          ,      ,      ,2, 47.222489, 0.024, 0.015,1, 1,2M,Simbad,11 22 47.01,+43 49 47.1
141-0003043, ,   75.58,  -40.93, 11.689, 11.013, 10.805, 15.041,1, 34.729900, 0.020, 0.010,1, 34.953615, 0.020, 0.010,1, 0,2M,Simbad,11 09 06.75,+42 08 43.6
141-0003114, , -108.28,  -22.12, 11.796, 11.226, 10.991, 15.395,1,          ,      ,      ,2, 79.515313, 0.058, 0.017,1, 0,2M,Simbad,11 16 40.98,+43 52 19.9
141-0003991, , -120.48,  -58.29, 12.118, 11.442, 11.244, 15.501,1, 42.093923, 0.044, 0.024,1, 42.312749, 0.044, 0.024,1, 0,2M,Simbad,11 16 29.85,+43 29 38.5
141-0004062, ,  -57.20,   -4.57, 12.176, 11.523, 11.333, 14.857,1, 15.581873, 0.018, 0.006,0,          ,      ,      ,2, 0,2M,Simbad,11 14 47.76,+43 41 18.2
141-0004123, ,  -86.91,  -70.82, 12.295, 11.663, 11.522, 14.302,1, 13.636954, 0.013, 0.009,0, 13.478874, 0.016, 0.010,0, 1,2M,Simbad,11 31 55.53,+42 26 57.6
141-0004515, ,  -46.83,  -32.42, 12.316, 11.635, 11.449, 10.604,1,          ,      ,      ,2,  0.575451,      ,      ,0, 1,2M,Simbad,11 29 54.71,+46 15 24.6
141-0004618, ,  -35.02,  -16.79, 12.382, 11.688, 11.535, 14.828,1, 22.618045, 0.009, 0.010,1,          ,      ,      ,2, 0,2M,Simbad,11 11 02.84,+48 13 37.2
141-0005014, ,  -67.01,  -28.18, 12.609, 11.996, 11.850, 15.025,1,  7.590144, 0.017, 0.014,0,  7.586607, 0.018, 0.013,0, 0,2M,Simbad,11 19 49.03,+43 23 30.3
142-0000493, ,  -57.55,   13.33,  9.386,  8.781,  8.596, 11.676,1,  5.114728, 0.038, 0.031,0,  5.114728, 0.038, 0.031,0, 1,2M,Simbad,11 49 45.49,+46 37 12.5
142-0000517, ,  -34.75,   -8.84, 10.233,  9.568,  9.421, 13.068,1,          ,      ,      ,2,  9.045144, 0.011, 0.006,0, 0,2M,Simbad,11 53 48.08,+43 50 33.2
142-0000914, ,  -26.50,  -62.81, 10.207,  9.589,  9.434, 12.793,1, 22.186477, 0.006, 0.002,1,          ,      ,      ,2, 0,2M,Simbad,11 45 17.88,+42 15 56.5
142-0001203, ,   78.90, -225.07, 10.434,  9.810,  9.565, 13.948,0, 43.558158, 0.026, 0.014,0, 44.633004, 0.025, 0.016,1, 0,2M,Simbad,11 52 25.11,+43 53 56.7
142-0001223, ,   93.49,  -91.37, 10.449,  9.886,  9.594, 14.012,1,          ,      ,      ,2, 65.713079, 0.016, 0.007,1, 0,2M,Simbad,11 49 44.70,+43 28 38.2
142-0001536, ,  -45.60,  -16.16, 10.851, 10.204, 10.044, 13.542,1, 12.671017, 0.015, 0.008,0, 12.690774, 0.015, 0.008,0, 1,2M,Simbad,11 50 36.50,+45 52 00.0
142-0001624, ,  -55.78,   20.31, 10.928, 10.291, 10.119, 13.569,1, 11.919510, 0.017, 0.011,0, 11.755961, 0.017, 0.011,0, 1,2M,Simbad,11 51 05.27,+44 41 16.3
142-0001697, ,  -12.19,  -91.25, 10.953, 10.265, 10.101, 13.403,1,          ,      ,      ,2, 10.201490, 0.008, 0.004,0, 0,2M,Simbad,11 44 53.67,+43 18 29.5
142-0001763, ,  -27.14,   18.67, 11.003, 10.367, 10.152, 13.489,1,  5.569724, 0.020, 0.016,0,  5.554521, 0.020, 0.015,0, 1,2M,Simbad,11 47 05.00,+41 51 52.4
142-0001980, ,  -63.22,   12.74, 11.163, 10.520, 10.311, 14.422,1,          ,      ,      ,2,  8.366430, 0.021, 0.007,0, 1,2M,Simbad,11 45 30.90,+46 14 44.3
142-0002189, ,  -55.48, -221.67, 11.279, 10.607, 10.400, 14.788,0, 42.645288, 0.031, 0.014,1,          ,      ,      ,2, 1,2M,Simbad,11 43 26.94,+48 38 33.8
142-0002239, ,  -55.67,  -22.93, 11.463, 10.785, 10.683, 13.572,1,          ,      ,      ,2, 11.572107, 0.008, 0.009,0, 0,2M,Simbad,11 47 27.65,+42 18 23.4
142-0002273, ,  -90.29,  -42.42, 11.326, 10.740, 10.465, 14.904,1,  0.542053, 0.063, 0.054,0,  0.542107, 0.063, 0.054,0, 0,2M,Simbad,11 45 00.67,+44 12 55.9
142-0002277, ,   30.59,  -56.81, 11.331, 10.648, 10.445, 14.520,1,          ,      ,      ,2, 40.929719, 0.015, 0.007,1, 0,2M,Simbad,11 43 41.36,+45 15 43.7
142-0003080, ,  -71.54,  -86.19, 11.822, 11.206, 10.995, 14.774,1, 43.211288, 0.019, 0.015,1,          ,      ,      ,2, 0,2M,Simbad,11 43 04.95,+43 26 15.1
142-0003169, ,  -79.79,   -4.17, 11.866, 11.209, 11.036, 14.715,1,  4.421069,      ,      ,0,          ,      ,      ,2, 0,2M,Simbad,12 02 23.37,+42 20 50.6
142-0005866, ,  -42.01,  -23.34, 12.790, 12.090, 11.944, 15.055,1,  0.753552, 0.057, 0.050,0,  0.753412, 0.056, 0.050,0, 1,2M,Simbad,11 44 14.73,+43 23 04.2
143-0000311,X, -180.30, -204.09,  8.786,  8.185,  7.932, 12.717,1, 13.585300,      ,      ,0,          ,      ,      ,2, 0,2M,Simbad,12 29 02.90,+41 43 49.7
143-0000721,X,  -78.37,  -31.17,  9.818,  9.138,  8.960, 12.580,1,  0.890360,      ,      ,0,          ,      ,      ,2, 1,2M,Simbad,12 20 35.96,+42 19 18.1
143-0000904, ,  -82.12,  -44.48, 10.136,  9.558,  9.321, 13.765,1,  1.022522,      ,      ,0,          ,      ,      ,2, 0,2M,Simbad,12 43 36.73,+41 18 23.1
143-0001763, ,  -94.59,    7.82, 11.145, 10.520, 10.372, 13.632,1, 14.020653,      ,      ,0,          ,      ,      ,2, 0,2M,Simbad,12 21 58.34,+41 18 20.1
144-0000282,X,  -88.44,  -52.57,  8.788,  8.198,  8.038, 11.130,0,  2.172184,      ,      ,0,  2.170306,      ,      ,0, 0,2M,Simbad,13 27 12.11,+45 58 26.6
144-0000526,X, -217.12, -182.98,  9.392,  8.797,  8.555, 12.799,0,          ,      ,      ,2,  0.364116,      ,      ,0, 0,2M,Simbad,13 26 53.26,+45 32 46.7
144-0004069, ,  -19.72,   25.92, 12.177, 11.511, 11.330, 15.252,1,  1.676987,      ,      ,0,  1.676347,      ,      ,0, 0,2M,Simbad,13 28 59.12,+43 53 07.8
145-0000279, ,  -39.98,   62.33,  8.693,  8.124,  7.939, 10.991,0, 23.453973,      ,      ,0, 23.422700,      ,      ,0, 0,2M,Simbad,13 53 02.97,+43 38 57.4
145-0000461, , -150.30,   35.70,  9.204,  8.555,  8.352, 11.730,0, 11.526710,      ,      ,0, 11.451567,      ,      ,0, 2,2M,Simbad,13 53 25.41,+43 11 16.2
145-0000464, ,  171.23,  212.89,  9.277,  8.616,  8.465, 11.716,1,          ,      ,      ,2, 16.794309,      ,      ,0, 1,2M,Simbad,13 40 03.80,+45 55 12.6
145-0000908,x, -220.13, -137.56, 10.122,  9.587,  9.302, 13.845,1,  0.557682,      ,      ,0,  0.557540,      ,      ,0, 1,2M,Simbad,13 37 40.44,+48 07 54.2
145-0003022, ,  -49.51,   31.90, 11.673, 10.989, 10.779, 14.586,1,  1.177532,      ,      ,0,  1.178243,      ,      ,0, 0,2M,Simbad,13 57 48.15,+48 29 42.2
145-0004529, ,  -74.55,   19.33, 12.317, 11.687, 11.484, 14.711,1,  7.202712,      ,      ,0,  7.200518,      ,      ,0, 1,2M,Simbad,14 02 30.34,+41 38 29.5
145-0005394, ,  -22.37,  -25.62, 12.662, 12.089, 11.904, 14.839,1,  0.752575,      ,      ,0,  0.752511,      ,      ,0, 1,2M,Simbad,13 38 21.62,+48 04 23.2
146-0000356, , -129.00,  -23.97,  8.793,  8.195,  8.024, 12.024,1,          ,      ,      ,2, 39.265426,      ,      ,1, 1,2M,Simbad,14 38 51.87,+42 13 44.5
146-0000877,X, -107.51,   -8.21,  9.949,  9.367,  9.119, 13.664,1,          ,      ,      ,2,  2.091620,      ,      ,0, 0,2M,Simbad,14 37 29.48,+41 28 35.1
146-0000918, ,   11.30, -108.65, 10.054,  9.405,  9.231, 12.900,1,  9.486592,      ,      ,1,  9.568365,      ,      ,0, 2,2M,Simbad,14 38 46.22,+46 45 06.9
146-0001090, ,  -36.68,    8.24, 10.364,  9.859,  9.616, 12.655,1, 12.196710,      ,      ,0, 12.323655,      ,      ,0, 0,2M,Simbad,14 41 23.93,+44 28 40.9
146-0001297, ,  -56.34,   38.13, 10.543,  9.902,  9.738, 12.888,1,          ,      ,      ,2, 21.497246,      ,      ,0, 0,2M,Simbad,14 36 11.22,+48 13 47.2
146-0003025, ,   43.23,  -17.87, 11.727, 11.120, 10.941, 15.289,1,          ,      ,      ,2,  4.505391,      ,      ,0, 0,2M,Simbad,14 07 12.99,+45 46 51.8
147-0000309, ,   17.15, -160.92,  8.667,  8.078,  7.951, 10.952,0,          ,      ,      ,2, 28.183356,      ,      ,0, 0,2M,Simbad,14 49 51.82,+48 33 17.7
147-0000476, ,  117.01,   29.53,  8.999,  8.288,  8.125, 12.210,1, 43.618474,      ,      ,0, 44.829544,      ,      ,0, 0,2M,Simbad,15 06 02.84,+45 21 52.3
147-0000509, ,  -12.78,   63.05,  9.157,  8.563,  8.375, 11.467,0,          ,      ,      ,2, 36.530869,      ,      ,0, 0,2M,Simbad,15 05 15.41,+48 05 41.8
147-0000701, ,  -69.18,  -26.49,  9.564,  8.943,  8.769, 11.652,1,  7.222168,      ,      ,0,  7.219232,      ,      ,0, 1,2M,Simbad,15 00 27.11,+47 13 48.9
147-0000708, , -123.53,    5.85,  9.504,  8.875,  8.656, 11.942,1, 13.453148,      ,      ,0, 13.400358,      ,      ,0, 0,2M,Simbad,15 17 05.20,+45 00 21.3
147-0000750,X,   89.39,   31.85,  9.595,  9.050,  8.778, 13.479,1,  1.872262,      ,      ,0,  1.875029,      ,      ,0, 1,2M,Simbad,15 07 23.83,+43 33 53.1
147-0001012, ,  -63.75,  206.23, 10.152,  9.510,  9.390, 12.498,0, 25.716824,      ,      ,0, 25.789064,      ,      ,0, 0,2M,Simbad,15 14 24.55,+48 33 31.2
147-0001080, ,   23.59, -116.32, 10.196,  9.567,  9.394, 13.023,1,          ,      ,      ,2, 23.205397,      ,      ,0, 2,2M,Simbad,14 47 17.73,+41 25 17.3
147-0001534, ,  -59.15,  -48.78, 10.596, 10.005,  9.769, 14.097,1,          ,      ,      ,2, 57.706038,      ,      ,1, 1,2M,Simbad,15 16 29.36,+45 00 24.4
147-0001679, , -124.89,   72.46, 10.644,  9.976,  9.745, 14.422,1,          ,      ,      ,2, 26.984394,      ,      ,0, 0,2M,Simbad,14 50 13.05,+42 03 49.9
147-0001705, ,  -61.39,   72.92, 10.791, 10.107,  9.971, 13.246,1,  0.195730,      ,      ,0,  0.195728,      ,      ,0, 1,2M,Simbad,14 58 43.52,+43 17 17.3
147-0001811, ,  -31.92,   31.39, 10.813, 10.131,  9.951, 13.701,1, 10.212058,      ,      ,0, 10.229704,      ,      ,0, 0,2M,Simbad,15 08 31.48,+44 58 32.5
147-0002481, ,  126.58,  -79.19, 11.226, 10.641, 10.386, 14.976,1,  1.403981,      ,      ,0,  0.583613,      ,      ,0, 1,2M,Simbad,15 08 55.93,+46 51 17.5
147-0002585, ,  -69.05,   19.29, 11.279, 10.655, 10.431, 14.501,1,          ,      ,      ,2, 21.240157,      ,      ,0, 0,2M,Simbad,15 06 18.89,+48 17 45.8
147-0002804, ,  -37.93,  -12.01, 11.373, 10.688, 10.493, 14.249,1,          ,      ,      ,2, 20.636590,      ,      ,0, 0,2M,Simbad,14 59 44.56,+41 39 08.4
147-0002901, ,   46.67,    2.08, 11.425, 10.716, 10.542, 13.773,1, 14.847767,      ,      ,0, 14.724670,      ,      ,0, 1,2M,Simbad,15 08 07.74,+44 03 22.6
147-0003900, ,   -9.58,  -32.46, 11.922, 11.276, 11.121, 14.184,1,  1.935763,      ,      ,0,  1.935946,      ,      ,0, 1,2M,Simbad,15 14 49.75,+43 11 41.4
147-0005061, ,   15.75,  -31.59, 12.323, 11.679, 11.533, 14.563,1,  4.350767,      ,      ,0,  4.332723,      ,      ,0, 1,2M,Simbad,14 51 19.73,+42 25 23.1
147-0007301, ,  -11.27,  110.07, 12.880, 12.257, 12.101, 14.765,1,  9.173015,      ,      ,1,          ,      ,      ,2, 1,2M,Simbad,15 03 06.86,+45 22 46.8
148-0000206, ,  155.68, -297.42,  7.998,  7.372,  7.250, 10.369,0, 79.819012,      ,      ,1,          ,      ,      ,2, 1,2M,Simbad,15 31 46.78,+47 03 25.2
148-0000280,X, -117.29,  -23.54,  8.338,  7.690,  7.515, 12.137,1, 10.537893,      ,      ,0, 10.632435,      ,      ,0, 1,2M,Simbad,15 32 37.37,+46 53 04.9
148-0000574,X, -259.08,  200.13,  9.082,  8.463,  8.215, 13.372,1,  3.536042,      ,      ,0,          ,      ,      ,2, 0,2M,Simbad,15 47 27.44,+45 07 51.2
148-0000603,X,  -67.28,   22.29,  9.248,  8.594,  8.420, 11.785,1,  6.457032,      ,      ,0,  6.459739,      ,      ,0, 0,2M,Simbad,15 46 23.17,+44 03 14.9
148-0001021, ,  113.26, -187.19,  9.894,  9.270,  9.074, 12.983,1, 20.776781,      ,      ,0, 20.781611,      ,      ,0, 0,2M,Simbad,15 53 18.90,+48 41 21.8
148-0001031, , -104.87,   11.44,  9.858,  9.251,  9.011, 13.304,1,  2.200937,      ,      ,0,  2.201252,      ,      ,0, 1,2M,Simbad,15 43 42.72,+44 50 51.8
148-0001178,X,  -63.63,   79.06, 10.064,  9.419,  9.233, 13.358,1,  1.106397,      ,      ,0,  1.106954,      ,      ,0, 1,2M,Simbad,15 27 51.07,+43 31 02.2
148-0001191, ,  -43.03,   25.53, 10.163,  9.557,  9.397, 12.837,1,          ,      ,      ,2,  9.166361,      ,      ,0, 0,2M,Simbad,15 49 21.32,+43 47 00.0
